state,state_abr,title,party,first_last_,climate_denier,display_on_default,quote_text,quote_reference,quote_reference_url,total_career_contributions
Colorado,co,Senator,Republican,Cory Gardner,TRUE,FALSE,"In 2014, MSNBC wrote: “During the lightning round, yes-or-no portion of The Denver Post debate between Gardner and Udall, the Republican was asked ‘do you believe humans are contributing significantly to climate change?’ ‘Well, I’ve said all along climate is changing,’ Gardner began, earning reprimands from the moderators to answer in one word. ‘This is an important issue and I don’t think you can say yes or no,’ Gardner fired back, earning boos from the crowd and another reprimand. ‘I believe climate is changing, but I disagree to the extent that’s been in the news that man is changing –’ he started again, earning a third reprimand and a reminder that he would have time later to explain his answer if he wanted.” Since that time, a spokesman for Sen. Gardner wrote in an email to E&E News, ""Senator Gardner believes human activity is a driver of climate change."" However, Gardner's office did not respond to a request for comment and clarification as to whether he believes human activity is the primary driver of climate change, as is the scientific consensus.","MSNBC, 10/8/14; E&E News, 12/6/18",http://www.msnbc.com/msnbc/gop-senate-candidate-wont-answer-climate-change; https://www.eenews.net/stories/1060108917,"$1,338,649"
Florida,fl,Senator,Republican,Marco Rubio,TRUE,FALSE,"As reported by The Washington Post, Sen. Rubio said on CNN's ""State of the Union"": “I think many scientists would debate the percentage of what is attributable to man versus normal fluctuations.""","The Washington Post, 10/14/18",https://www.washingtonpost.com/powerpost/larry-kudlow-marco-rubio-question-extent-of-human-contribution-to-climate-change/2018/10/14/c8606ae2-cfcf-11e8-b2d2-f397227b43f0_story.html?utm_term=.7fd10e2a7018,"$1,251,150"
Florida,fl,Senator,Republican,Rick Scott,TRUE,FALSE,"The Guardian reported, ""Scott continues to avoid talking about climate change on the campaign trail, often using the explanation 'I’m not a scientist' to dodge awkward questions.""","The Guardian, 10/9/18",https://www.theguardian.com/us-news/2018/oct/09/hurricane-michael-rick-scott-climate-record-slammed,"$173,525"
Georgia,ga,Senator,Republican,David Perdue,TRUE,FALSE,"The Atlanta Journal-Constitution reported that Sen. Perdue told the publication, “The scientific community is not in total agreement about whether mankind has been a contributing factor.”","The Atlanta Journal-Constitution, 8/8/15",http://www.myajc.com/news/news/state-regional-govt-politics/state-agencys-warning-on-climate-change-spurs-acti/nnFBz/,"$240,650"
Georgia,ga,Senator,Republican,Johnny Isakson,TRUE,FALSE,"In response to Democratic senators' comments about carbon reduction, Sen. Isakson said on the Senate floor: “I believe the climate does change, but I don’t believe climate change is a religion. I think it’s science ... And there are mixed reviews on that and there’s mixed scientific evidence on that.""","The Atlanta Journal-Constitution, 3/18/15",https://www.ajc.com/blog/politics/johnny-isakson-tussles-with-democrat-senate-floor-don-believe-climate-change-religion/ajruIc3fbNCxmIHFNplS8J/,"$471,983"
Indiana,in,Senator,Republican,Todd Young,TRUE,FALSE,"In a video published by WLKY, Sen. Young said: “My mind remains open about various scientific questions and so forth. We’re often told there’s a consensus among scientists, and I’ve come to discover, as the number of scientists I talk to and the number of things I read, that’s not necessarily the case.""","WLKY, 10/8/2014",http://www.wlky.com/article/in-their-own-words-todd-young-on-climate-change/3480995,"$675,411"
Iowa,ia,Senator,Republican,Chuck Grassley,TRUE,FALSE,"As reported by Grist, in a conference call with agricultural reporters, Sen. Grassley said: ""And so, not being a scientist, I don’t know exactly where to say only those things that are really quantifiable, and temperature has risen. But the scientific aspect that I still reserving judgment on is the extent to which it’s manmade or natural.""","Grist, 8/26/09",https://grist.org/article/2009-08-26-chuck-grassley-does-not-believe-in-the-threat-of-anthropogenic-c/,"$436,963"
Iowa,ia,Senator,Republican,Joni Ernst,TRUE,FALSE,"In a 2018 CNN interview, Sen. Ernst said, ""Well, we know that our climate is changing. Our climate always changes, and we see those ebbs and flows through time.""","CNN, 11/25/18",https://www.cnn.com/videos/politics/2018/11/25/sotu-ernst-climate.cnn,"$212,900"
Kansas,ks,Senator,Republican,Pat Roberts,TRUE,FALSE,"HuffPost reported on a speech Sen. Roberts delivered in 2013: ""But Roberts, who receives poor ratings from environmental groups, avoided linking the natural disasters to any kind of human-generated climate change, suggesting Mother Nature simply has it in for America. 'I don't know what we've done to Mother Nature, but she sure hasn't been very kind to us,' Roberts said.""","HuffPost, 4/9/13",https://www.huffingtonpost.com/2013/04/09/pat-roberts-climate-change_n_3047625.html,"$869,875"
Kentucky,ky,Senator,Republican,Mitch McConnell,TRUE,TRUE,"Sen. McConnell told Kentucky Sports Radio: ""What I have said repeatedly is I am not a scientist. But what I can tell you is, even if you thought that was important—and there are some scientists who do and some scientists who don't—but even if you thought that was important, the United States doing this by itself is going to have zero impact ... it's not a yes or no question. I am not a scientist ... There are different opinions among scientists.""","HuffPost, last accessed 1/19",https://www.huffingtonpost.com/entry/mitch-mcconnell-gets-combative-on-climate-change-gay-marriage_us_5b576da9e4b01e373aac27b5,"$3,018,793"
